Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
11.57,4,0.109599785,0.144630745,0.130910682,0.110135702,0.096382135,0.490415484,0.498352724,0.272968324,0.2253844,7.138375519,58.68372363,58.6837219,887386900
11.58,4,0.109585642,0.144601966,0.130881902,0.110121489,0.096367923,0.490207656,0.498143395,0.272850764,0.225292632,7.1353771,58.67427292,58.67427118,888153900
11.59,4,0.109571532,0.144573241,0.130853177,0.110107311,0.096353744,0.490000139,0.497934379,0.272733363,0.225201016,7.132383168,58.6648302,58.66482846,888920900
11.6,4,0.109557456,0.144544573,0.13082451,0.110093166,0.096339599,0.489792948,0.497725694,0.272616141,0.225109553,7.129393969,58.65539605,58.6553943,889687900
11.61,4,0.109543414,0.144515965,0.130795901,0.110079055,0.096325488,0.489586112,0.497517366,0.272499122,0.225018243,7.126409885,58.6459721,58.64597035,890454800
11.62,4,0.109529406,0.144487412,0.130767348,0.110064978,0.096311411,0.489379584,0.497309349,0.272382264,0.224927085,7.123430271,58.63655327,58.63655152,891221800
11.63,4,0.109515429,0.144458914,0.13073885,0.110050933,0.096297366,0.489173388,0.497101668,0.272265588,0.22483608,7.120455454,58.62714644,58.62714469,891988700
11.64,4,0.109501485,0.144430472,0.130710408,0.110036921,0.096283354,0.48896752,0.496894317,0.27214909,0.224745227,7.117485373,58.61774251,58.61774076,892755800
11.65,4,0.109487574,0.144402086,0.130682022,0.110022942,0.096269375,0.48876198,0.496687297,0.272032772,0.224654525,7.114520032,58.60835209,58.60835034,893522700
11.66,4,0.109473697,0.144373757,0.130653693,0.110008997,0.09625543,0.48855677,0.496480611,0.271916636,0.224563976,7.111559475,58.59896886,58.5989671,894289700
11.67,4,0.109459851,0.144345482,0.130625418,0.109995084,0.096241517,0.488351866,0.496274234,0.271800656,0.224473578,7.108603335,58.58959032,58.58958856,895056600
11.68,4,0.109446039,0.144317263,0.130597199,0.109981204,0.096227637,0.488147298,0.496068195,0.271684864,0.224383331,7.105652054,58.5802235,58.58022174,895823600
11.69,4,0.10943226,0.1442891,0.130569037,0.109967358,0.096213791,0.487943046,0.495862477,0.271569241,0.224293236,7.102705359,58.57086125,58.57085948,896590500
11.7,4,0.109418514,0.144260994,0.13054093,0.109953545,0.096199978,0.487739125,0.495657092,0.2714538,0.224203292,7.099763431,58.56151088,58.56150911,897357600
11.71,4,0.109404798,0.144232941,0.130512877,0.109939761,0.096186194,0.487535537,0.495452043,0.271338544,0.224113499,7.096826319,58.55216909,58.55216732,898124500
11.72,4,0.109391115,0.144204942,0.130484878,0.109926011,0.096172444,0.487332246,0.495247294,0.271223437,0.224023857,7.093893505,58.54283198,58.5428302,898891500
11.73,4,0.109377465,0.144177,0.130456936,0.109912295,0.096158728,0.48712929,0.495042884,0.271108518,0.223934366,7.090965546,58.53350286,58.53350108,899658400
11.74,4,0.109363847,0.144149112,0.130429048,0.10989861,0.096145043,0.486926657,0.494838798,0.270993773,0.223845025,7.088042236,58.52418558,58.5241838,900425400
